date,open,high,low,close,volume,adj_close,change_percent,avg_vol_20d
2008-11-06,94.46,95.44,90.06,90.86,477982781,67.5127,-5.541105675,486918232.1
2008-11-07,91.65,94,90.5,93.86,380518594,69.7419,3.301897273,462366818
2008-11-10,95.21,95.53,90.92,92.63,301903188,68.8279,-1.310546458,454616741.5
2008-11-11,90.76,92.1377,88.65,89.77,418596719,66.7028,-3.087556064,448212158.7
2008-11-12,88.23,90.1516,85.12,85.82,454330594,63.7678,-4.400115138,446697313.4
2008-11-13,86.13,91.73,82.09,91.17,753801000,67.7431,6.234024069,448946804
2008-11-14,89.41,92.06,86.52,86.62,540352312,64.3622,-4.990766587,452125913.3
2008-11-17,86.38,88.56,85.16,85.47,415543812,63.5077,-1.327642623,456838397.7
2008-11-18,85.15,87.22,82.91,87.08,524140594,64.704,1.88370859,465220333.6
2008-11-19,85.91,86.87,80.92,81.5,558809438,60.5579,-6.4077955,467352405.5
2008-11-20,80.13,82.51,75.05,75.45,814180438,56.0625,-7.423308932,476328111.8
2008-11-21,77.46,80.9,74.34,79.52,718768562,59.0866,5.394158305,484975908.7
2008-11-24,81.92,86.985,80.3614,85.03,523462031,63.1808,6.929151449,491137080.5
2008-11-25,87.3,87.51,83.82,85.66,454188281,63.6489,0.740889637,481849519.6
2008-11-26,84.3,89.19,84.24,88.97,370320375,66.1084,3.86416733,473796457.1
2008-11-28,88.63,90.13,88.48,90.09,119905297,66.9406,1.258841539,459062620.4
2008-12-01,87.51,87.55,81.86,82.11,370826812,61.0111,-8.857853082,457028965.7
2008-12-02,83.47,85.49,82.038,85.27,469785219,63.3591,3.848480031,470239886.8
2008-12-03,83.4,87.83,83.14,87.32,520103719,64.8824,2.404232383,478896193
2008-12-04,86.06,88.05,83.74,85.3,444341500,63.3814,-2.313416273,481593063.3
2008-12-05,83.65,88.42,82.24,87.93,472064188,65.3356,3.083238931,481297133.7
2008-12-08,90.34,92.38,88.0815,91,413016812,67.6168,3.491511519,482922044.6
2008-12-09,90.37,92.13,88.98,89.5,370862500,66.5022,-1.648406905,486370010.2
2008-12-10,90.32,91.36,89,90.11,396381188,66.9555,0.681631585,485259233.6
